waktu,suhu_2,suhu_permukaan,kelembaban_tanah
2020-05-01 00:26:36,28.0,63.0,84.0
2020-05-01 00:26:39,28.0,63.0,84.0
2020-05-01 00:26:42,28.0,63.0,84.0
2020-05-01 00:26:45,29.0,62.0,84.0
2020-05-01 00:26:48,29.0,62.0,84.0
2020-05-01 00:26:51,29.0,62.0,84.0
2020-05-01 00:26:54,29.0,62.0,84.0
2020-05-01 00:26:57,29.0,63.0,84.0
2020-05-01 00:27:00,29.0,63.0,84.0
2020-05-01 00:27:03,28.0,62.0,84.0
2020-05-01 00:27:06,28.0,62.0,84.0
2020-05-01 00:27:09,28.0,62.0,84.0
2020-05-01 00:27:12,28.0,63.0,84.0
2020-05-01 00:27:15,28.0,63.0,84.0
2020-05-01 00:27:18,28.0,62.0,84.0
2020-05-01 00:27:21,28.0,62.0,84.0
2020-05-01 00:27:24,28.0,62.0,84.0
2020-05-01 00:27:27,28.0,62.0,84.0
2020-05-01 00:27:30,28.0,63.0,84.0
2020-05-01 00:27:33,28.0,63.0,84.0
2020-05-01 00:27:36,29.0,62.0,84.0
2020-05-01 00:27:39,29.0,62.0,84.0
2020-05-01 00:27:42,28.0,64.0,84.0
2020-05-01 00:27:45,28.0,64.0,84.0
