waktu,Unnamed: 0,kelembaban,suhu,permukaan,hujan,curah
2020-03-09 01:13:58,9969,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:14:05,9970,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:14:11,9971,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:14:31,9972,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:14:37,9973,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:14:43,9974,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:14:50,9975,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:14:56,9976,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:15:03,9977,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:15:09,9978,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:15:47,9979,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:15:54,9980,68.0,28.0,26.0,101.0,0.0
2020-03-09 01:16:01,9981,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:16:07,9982,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:16:14,9983,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:16:21,9984,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:16:27,9985,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:16:34,9986,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:16:40,9987,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:16:47,9988,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:16:54,9989,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:17:19,9990,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:17:25,9991,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:18:04,9992,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:18:09,9993,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:18:36,9994,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:18:41,9995,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:19:08,9996,68.0,50.0,26.0,101.0,0.0
2020-03-09 01:19:14,9997,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:20:05,9998,68.0,47.0,26.0,101.0,0.0
2020-03-09 01:20:11,9999,68.0,48.0,26.0,101.0,0.0
2020-03-09 01:20:18,10000,68.0,44.0,26.0,101.0,0.0
2020-03-09 01:20:25,10001,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:20:56,10002,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:21:03,10003,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:21:22,10004,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:21:29,10005,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:21:41,10006,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:21:50,10007,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:22:20,10008,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:22:27,10009,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:22:33,10010,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:22:39,10011,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:22:46,10012,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:22:52,10013,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:22:59,10014,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:23:11,10015,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:23:18,10016,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:23:24,10017,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:23:31,10018,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:24:16,10019,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:24:23,10020,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:24:41,10021,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:24:48,10022,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:25:13,10023,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:25:20,10024,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:25:26,10025,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:25:33,10026,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:25:40,10027,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:25:46,10028,67.0,41.0,26.0,101.0,0.0
2020-03-09 01:25:53,10029,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:26:06,10030,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:26:12,10031,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:26:19,10032,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:26:25,10033,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:26:32,10034,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:26:38,10035,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:26:45,10036,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:26:57,10037,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:27:04,10038,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:27:11,10039,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:27:17,10040,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:27:24,10041,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:27:30,10042,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:27:37,10043,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:27:50,10044,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:27:57,10045,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:28:09,10046,68.0,40.0,26.0,101.0,0.0
